id;title;body;department;sentiment
132;TUTTO MAGNIFICO!! #stellecinque;Non mi aspettavo tanta cura: la pulizia camera era PERFETTA ogni singolo giorno!! Origami di asciugamani sul letto, pavimento LUCIDISSIMO e scorte di cortesia sempre rifornite!! @hotelstaff GRAZIE!!;Housekeeping;positive
133;Nessun problema al check-out stamattina;Il check-out è durato letteralmente due minuti: fattura corretta al primo colpo, bagagli custoditi con cura e personale sorridente fino all'ultimo. Reception da manuale.;Reception;positive
134;Menu ripetitivo in questo ristoraante;Per quattro giorni consecutivi quello che abbiamo mangiato e cio che ci e' stato proposto dal  il ristoraante erano gli stessi tre piatti principali. Al primo mattino La colazione variava a malapena Tutto era commestibile e mangiabile  ma privo di fantasia. I ragazzi sono stati gentili,ma quanto lo cambiate questo menu'?;F&B;negative
135;Pulizia zeroo!! vamera uno schifo!!$$;#disgustoso Trovai la vamera con macchie evidenti sul copriletto e il WC non sanificato. Chiamai la ricetionist che promise intervento IMMEDIATO ma nessuno si presentò!! MAI PIÙ in questo posto!!;Housekeeping;negative
136;Ristorante eccellente ma reception da rivedere;La colazione al ristorante era di altissimo livello ogni mattina e il personale F&B ci ha viziati con prodotti locali e caffè aromatico. Il check-in però aveva creato confusione con le assegnazioni.;Reception;negative
137;Check-out perfetto ma cibo pessimo;La reception ha gestito il check-out con rapidità e professionalità esemplari. Purtroppo la colazione quella mattina era scadente e la cena del giorno prima al ristorante era stata altrettanto deludente.;Reception;positive
138;Colazione TOP ma pulizia camera trascurata;Il ristorante a colazione era semplicemente straordinario: frutta fresca, uova preparate al momento e personale F&B premuroso. La pulizia camera invece deludeva: bagno con residui e pavimento non lavato.;F&B;positive
139;Cibo mediocre ma personale impeccabile;La colazzione era appena sufficiente e il ristorante a cena non convinceva: porzioni scarse e piatti anonimi. Il reparto pulizie però eccelleva: camera sempre in ordine e dettagli curati ogni giorno.;F&B;negative
140;Servizio pulizie finalmente all'altezza;L'ultima volta che soggiornai qui la pulizia camera era deludente. Stavolta invece mi devo riceredere,ha sorpreso positivamente tutto : bagno sanificato ogni giorno e lenzuola morbidisse e pulitssiime cambiate a metà soggiorno senza richiederlo.;Housekeeping;positive
141;RICETIONIST INCOMPETENTE!! ATTESA ASSURDA!!??;Qual'è il senso di avere un sistema di prenotazione online se poi la ricetionist al check-in non trova NIENTE?? Aspettai trenta minuti mentre lei digitava freneticamente. Servvizio ZERO!!$$ #caosreception;Reception;negative
142;Pranzo al ristorante una piacevole sorpresa;Non avevo grandi aspettative per il ristorante dell'hotel ma il pranzo di oggi mi ha completamente ricreduto: piatti regionali ben eseguiti e personale F&B competente. La colazione di domani la aspetto con curiosità.;F&B;positive
143;Pulizia camera nella media senza sorprese;Durante i tre giorni di soggiorno , le ragazze e i ragazzi addetti  hanno svolto il proprio lavoro in modo regolare. Niente di straordinario ma nemmeno niente di negativo: asciugamani cambiati e bagno decente in generale.;Housekeeping;positive
144;Colazzione fredda e servvizio assente!!;Stamattina la colazzione era un disastro: cornetti di ieri, caffè tiepido e nessun prodotto fresco. Il ristorante era sporco e il personale F&B IGNORAVA i clienti. Prezzo esagerato!!$$ *VERGOGNA*;F&B;negative
145;Personale reception formato e reattivo;Arrivai con una prenotazione modificata all'ultimo minuto e la reception gestì la situazione senza alcun intoppo. Professionalità e calma anche sotto pressione. Davvero un ottimo front desk.;Reception;positive
146;Camera abbandonata a se stessa;Durante il soggiorno di febbraio scorso notai che la pulizia cammera veniva eseguita ogni due giorni e in modo frettoloso. Il bagno aveva sempre aloni sullo specchio e il pavimento non sembrava mai lavato. La governante, effettivamente , non era presente.;Housekeeping;negative
147;Ristorante dell'hotel consigliato;La colazione era ricca e curata ogni mattina. L a cena offriva un menu interessante con prodotti di stagione e devo dire che ogni piatto veniva spiegato in modo professionale dai camerieri. Esperienza gastronomica sopra la media.;F&B;positive
148;CHECK-IN DURATO UN'ORA INTERA!!;Ma stiamo scherzando??!!! Il check-in di ieri sera è durato SESSANTA MINUTI perché il sistema della ricezzione era in panne. Nessuno si è scusato e ci hanno dato una cammera diversa da quella prenotata. INACCETTABILE!!;Reception;negative
149;Personale delle pulizie puntuale e discreto;Ogni mattina entro le dieci la camera era già perfettamente riassettata. La pulizia camera era garantita dalla governante senza mai dover richiedere interventi. Personale discreto e professionale.;Housekeeping;positive
150;Qualità del ristorante costante e affidabile;Sia a colazione che a cena il ristorante ha mantenuto un livello elevato per tutta la durata del soggiorno. Il personale F&B era attento e la qualità degli ingredienti si sentiva in ogni piatto.;F&B;positive
151;Ordine e pulizia garantiti ogni giorno;Rientravamo in camera ogni sera trovando tutto perfettamente riassettato. La pulizia camera era costante e accurata per tutta la durata del soggiorno. Personale housekeeping discreto e professionale.;Housekeeping;positive
152;Attesa infinita per registrarsi ,FILA ASSURDA AL CHECKIN!!$$;Mezz'ora in piedi davanti al bancone con UN SOLO ricetionist per dieci persone. Il checkin era COMPLETAMENTE disorganizzato e nessuno si degnò di scusarsi, azni ci dissero pure che potevamo aspettare di piu, deluso. #frontdeskfail MAI PIÙ!!;Reception;negative
153;Cena al ristorante da ricordare;Ieri sera il ristorante ha espresso il meglio della cucina locale: ingredienti freschi, presentazione curata e personale F&B che anticipava ogni nostra richiesta. La colazione stamattina era altrettanto buona.;F&B;positive
154;Bagno non sanificato nemmeno una volta;Segnalai alla ricetionist che il bagno della cammera non era stato pulito correttamente. Mi promise un intervento immediato che non arrivò mai. La pulizia zeroo era evidente dal primo giorno. Ho riscontrato una scarsa attenzione ai dettagli, sui comodini c'è uno strato grigio di polvere evidente e i vetri della finestra sono pieni di impronte.;Housekeeping;negative
155;Receptionist competente e veloce;Oggi il check-out è stato gestito in meno di tre minuti: fattura corretta, bagagli custoditi senza problemi. Raramente ho trovato una reception così efficiente, un applauso ai ragazzi e al direttore che li gestisce.;Reception;positive
156;Colazzione appena sufficiente e mal allestita;Il buffet della colazzione offriva prodotti di qualità scadente disposti in modo sciatto. Il ristorante era rumoroso e il personale F&B sembrava sopraffatto anche con pochi ospiti presenti.;F&B;negative
157;PULIZIA CAMERA INCREDIBILE!! #wow;#topqualità La pulizia camera era STRAORDINARIA ogni singolo giorno: pavimento LUCENTISSIMO, asciugamani piegati a ventaglio e scorte di cortesia sempre rifornite puntualmente!! @hotelmanagement OTTIMO LAVORO!!;Housekeeping;positive
158;Check-in fluido nonostante l'affollamento;Arrivammo durante il weekend con l'hotel al completo. Nonostante la fila la reception gestì ogni cliente con calma e professionalità. Il check-in si concluse in tempi rapidi e mi portò molta gioia e felicità come prima senszione per questa vacanza.;Reception;positive
159;Ristorante deludente su tutta la linea;Sia la cena che la colazione al ristorante furono esperienze mediocri: piatti tiepidi, porzioni ridotte e personale F&B distratto. Per il prezzo richiesto mi aspettavo decisamente di più.;F&B;negative
160;Sporcizzia!! cammera uno schifo totale!!;#inaccettabbile Trovammo la cammera con capelli nella doccia e macchie sul copriletto. HO FOTOGRAFATO TUTTO e mandato mail alla direzione!! La ricetionist si scusò ma NON cambiò niente!! VERGOGNA!!$$;Housekeeping;negative
161;Colazione ottima ma reception lenta;Il ristorante a colazione era eccellente: prodotti locali freschi e personale F&B sorridente ogni mattina. Purtroppo il check-in della sera prima aveva richiesto quaranta minuti per un problema di sistema.;Reception;negative
162;Reception perfetta ma rristorante da dimenticare;La receptionist ci accolse con calore e professionalità e il check-in filò liscio in pochi minuti. La cena al ristorante quella sera fu però deludente e la colazione del giorno dopo appena tollerabile.;Reception;positive
163;Ristorante top ma camera assolutamente no;La colazione al ristorante era di altissimo livello: formaggi artigianali, frutta di stagione e caffè eccellente. Il personale F&B era il vero punto di forza. La pulizia camera invece deludeva: pavimento appiccicoso e specchio con aloni.;F&B;positive
164;Cibo pessimo ma pulizie impeccabili;La colazzione era scadente e il ristorante a cena non andava meglio: menu limitato e servvizio lento. La pulizia camera però era meticolosa ogni giorno: lenzuola fresche e bagno sempre sanificato.;F&B;negative
165;Stesse sensazioni di un tempo;Due anni fa questo hotel aveva un reparto pulizie eccellente poi peggiorato. Felice di constatare che la pulizia camera è tornata agli standard di una volta: tutto impeccabile per  le nostre cinque giornate consecutive qui.;Housekeeping;positive
166;RICETIONIST SGARBATA!! CHECKOUT DISASTROSO!!??;Qual'è il senso di un front desk aperto 24h se il personale è maleducato?? La ricetionist al check-out mi ha risposto male per un addebito SBAGLIATO sul conto!! Servvizio ZERO!!$$ #receptionhorror @direzione;Reception;negative
167;Pranzo al ristorante una vera sorpresa;Non avevo grandi aspettative ma il pranzo di oggi al ristorante mi ha completamente convinto: piatti regionali ben eseguiti e personale F&B preparato e gentile. Tornerò sicuramente.;F&B;positive
168;Camera in ordine ma senza particolari cure;La pulizia camera era regolare durante tutto il soggiorno: niente di straordinario ma tutto nella norma. Asciugamani cambiati ogni due giorni e bagno mantenuto in condizioni accettabili.;Housekeeping;positive
169;Colazzione immangiabille!! *ORRENDA*;Stamattina la colazzione era composta da roba confezionata di bassa qualità. Il ristorante aveva un odore sgradevole e il caffè era ACQUA SPORCA!! Prezzo esagerato!!$$ #ciboorribile @hotelmanagement vergogna;F&B;negative
170;Personale reception gentile e preparato;Arrivai con una prenotazione modificata all'ultimo momento e la reception gestì la situazione con calma e competenza. Check-in completato in pochi minuti nonostante la complicazione.;Reception;positive
171;Personalle dpendente discontinuo e poco affidabile;Durante il soggiorno di marzo scorso la pulizia camera veniva effettuata a giorni alterni e in modo frettoloso. Il bagno aveva sempre residui visibili e gli asciugamani non venivano cambiati puntualmente.;Housekeeping;negative
172;Buffet della colazione sempre all'altezza;Ogni mattina il ristorante confermava lo stesso standard elevato: selezione ampia, prodotti freschi e personale F&B premuroso. Una certezza che rendeva ogni giornata piacevole fin dall'inizio.;F&B;positive
173;CHECK-OUT UN DISASTRO COMPLETO!!;Il check-out di stamattina ha richiesto QUARANTACINQUE MINUTI per un errore della ricetionist sul conto. Nessuno si è scusato e ho perso il treno!! INACCETTABILE per un hotel di questa categoria!!$$;Reception;negative
174;Dettagli curati dal reparto pulizie;Ogni mattina trovavo la camera perfettamente in ordine con piccoli dettagli che dimostravano cura: asciugamani piegati con precisione e scorte di cortesia sempre rifornite. Personale housekeeping davvero attento.;Housekeeping;positive
175;Qualità del ristorante sempre costante;Sia a colazione che a cena il ristorante ha mantenuto un livello elevato per tutte e sei le notti del soggiorno. Il personale F&B era competente e la qualità degli ingredienti si sentiva ad ogni pasto.;F&B;positive
176;Standard di pulizia molto alto;Ogni mattina rientravo in una camera impeccabile: lenzuola fresche, bagno sanificato e asciugamani cambiati puntualmente. Il reparto housekeeping ha lavorato con costanza per tutto il soggiorno.;Housekeeping;positive
177;ATTESA INFINITA AL BANCONE!!$$;Tre ricetionist dietro al bancone e nessuno ci guardava!! Il check-in durò quaranta minuti per un errore di sistema MAI risolto correttamente. SCANDALOSO per un hotel a quattro stelle!! #receptionzero;Reception;negative
178;Sapori genuini e delizioni al ristorante;Ieri sera la cena al ristorante ci ha piacevolmente sorpresi: piatti regionali ben eseguiti, ingredienti freschi e persole di cucina altamente preparato poiché il mio palato ha apprezzato ogni singola portata. La colazione stamattina era altrettanto curata. Amo la loro spremuta;F&B;positive
179;Cammera non pulita nemmeno il primo giorno;Aprimmo la vamera e trovammo immediatamente residui sul lavandino e capelli nella doccia. La pulizia cammera era chiaramente stata saltata. Segnalai tutto ma l'intervento arrivò solo il giorno seguente.;Housekeeping;negative
180;Personale front desk presente in ogni momento;Oggi ho avuto bisogno di informazioni sui trasporti e la reception ha risposto con precisione e cortesia. Il check-out è stato gestito in meno di cinque minuti. Servizio encomiabile.;Reception;positive
181;Colazzione fredda e prodotti scadenti;Il buffet della colazzione era allestito in modo trascurato: succhi industriali, brioche di ieri e nessun prodotto caldo degno di nota. Il ristorante aveva un odore chiuso e il personale F&B era assente.;F&B;negative
182; ECCEZIONALE!! #5stelle;#puliziastellare La pulizia camera era PERFETTA ogni giorno senza eccezioni!! Trovavo origami di asciugamani sul letto e scorte di cortesia SEMPRE rifornite!! @hotelstaff siete STRAORDINARI!! Tornerò solo per voi!!;Housekeeping;positive
183;Check-in completato senza intoppi;Arrivammo a tarda sera con un bambino piccolo e la reception ci sistemò in camera in meno di quattro minuti. Personale premuroso che capì subito la situazione. Ottima prima impressione.;Reception;positive
184;Ristorante privo di personalità;Per tre sere consecutive il ristorante proponeva piatti anonimi e poco curati. La colazione era nella media ma senza alcun prodotto locale o artigianale. Il personale F&B era gentile ma la qualità del cibo restava bassa.;F&B;negative
185;Pulizia zeroo!! #vamera sporca come schifo!!;Ma stiamo scherzando??!!! Trovai macchie sul copriletto e il WC non sanificato dal giorno prima!! HO CHIAMATO quattro volte la ricetionist!! NESSUNO è venuto!! VERGOGNA!!$$ @gestionehotel siete una VERGOGNA;Housekeeping;negative
186;Colazione eccellente ma reception disorganizzata;Il ristorante a colazione era genuinamente ottimo: prodotti freschi e personale F&B sorridente ogni mattina. Purtroppo il check-in aveva creato confusione con la tipologia di camera prenotata.;Reception;negative
187;Reception impeccabile ma ristorante da evitare;La receptionist ci accolse con professionalità e il check-in filò liscio in pochi minuti. La cena al ristorante quella stessa sera fu però una delusione: cibo tiepido e colazione del giorno dopo appena sufficiente.;Reception;positive
188;Mangiare e ristorante ottimo ma pulizie lasciate al caso;La colazione al ristorante era ogni mattina una vera gioia: prodotti biologici locali e personale F&B premuroso. La pulizia camera però deludeva sistematicamente: bagno con aloni e pavimento appiccicoso.;F&B;positive
189;Cibo scadente ma le pulizie sono state da applausi;La colazzione era mediocre e il ristorante a cena non migliorava le cose: porzioni scarse e servvizio lento. La pulizia camera invece era meticolosa ogni giorno: lenzuola fresche e dettagli sempre curati.;F&B;negative
190;Lavoro della signora delle pulizie  finalmente apprezzabile;Lo scorso anno la pulizia camera di questo hotel era insufficiente. Quest'anno invece il reparto ha fatto un deciso passo avanti: camera riassettata ogni mattina con cura e attenzione ai dettagli.;Housekeeping;positive
191;RICETIONIST INCOMPETENTE E MALEDUCATA!!??;Qual'è il problema di trovare una prenotazione già pagata?? La ricetionist al check-in sembrava non sapere usare il computer!! Aspettai TRENTA MINUTI in piedi con i bagagli!! Servvizio INDECENTE!!$$ #receptionhorror;Reception;negative
192;Menu del ristorante vario e ben eseguito;Stamattina la colazione offriva una selezione straordinaria di prodotti freschi. La cena di ieri sera al ristorante aveva confermato lo stesso livello: piatti regionali curati e personale F&B competente.;F&B;positive
193;Le signore delle pulizie puntuali come un orologio;Durante le cinque notti di soggiorno la pulizia camera era garantita ogni mattina entro le dieci. Nessuna richiesta necessaria: il personale lavorava in modo autonomo e discreto.;Housekeeping;positive
194;Colazzione immangiabille *SCHIFOSA*!!;#colazzionehorror Stamattina la colazzione era composta da roba avanzata di ieri e caffè ANNACQUATO!! Il ristorante puzzava di chiuso e il personale F&B ignorava i clienti!! Prezzo esagerato!!$$ MAI PIÙ!!;F&B;negative
195;Receptionist preparata e reattiva;Arrivai con una modifica dell'ultima ora sulla prenotazione e la reception gestì la situazione con calma e professionalità. Nessun intoppo e camera assegnata correttamente in pochi minuti.;Reception;positive
196;Condizioni della camera sotto ogni standard;Durante il soggiorno di aprile scorso la pulizia cammera era discontinua: un giorno sì e uno no senza alcuna logica. Il bagno presentava sempre residui visibili e gli asciugamani non venivano cambiati.;Housekeeping;negative
197;Ristorante dell'hotel una bella scoperta;Non avevo aspettative particolari ma la colazione del primo mattino mi ha subito convinto. Il ristorante ha mantenuto lo stesso standard per tutta la settimana. Personale F&B sempre professionale.;F&B;positive
198;CHECK-OUT TARDATO DI UN'ORA INTERA!!;Il check-out di stamattina è stato un disastro totale: la ricetionist impiegò SESSANTA MINUTI per correggere un addebito errato sul conto!! Nessuno si è scusato!! INACCETTABILE!!$$ #checkoutfail;Reception;negative
199;Camera curata con attenzione ai dettagli;Ogni sera rientravo e trovavo la stanza perfettamente in ordine con piccoli tocchi che dimostravano cura: scorte di cortesia rifornite e asciugamani piegati con precisione. Personale housekeeping davvero attento.;Housekeeping;positive
200;Qualità costante per tutto il soggiorno;Sia a colazione che a cena il ristorante ha mantenuto un livello elevato senza mai deludere. Il personale F&B era competente e la qualità degli ingredienti si sentiva chiaramente in ogni piatto.;F&B;positive
201;Trattamento impeccabile dal reparto pulizie;Ogni mattina la camera era già riassettata prima delle nove. La pulizia camera era curata nei minimi dettagli: bagno profumato, lenzuola tese e asciugamani freschi senza mai doverlo richiedere.;Housekeeping;positive
202;SISTEMA RECEPTION IN TILT TOTALE!!$$;Il check-in di ieri sera è durato QUARANTA MINUTI perché il gestionale della ricezzione era in panne. La ricetionist non sapeva cosa fare e nessun responsabile si è presentato!! #frontdeskzero VERGOGNA!!;Reception;negative
203;Colazione che vale il soggiorno da sola;Stamattina il buffet del ristorante era semplicemente magnifico: frutta tagliata al momento, formaggi locali e uova preparate su richiesta. Il personale F&B era premuroso e sempre presente.;F&B;positive
204;Sporcizzia evidente fin dall'ingresso;Arrivati in hotel, nelle aree comuni, c'era gia un odore strano e si avvertiva sporcizia nell'aria. Una volta arrivati in camera,aprimmo la porta  e notammo subito il pavimento appiccicoso e un odore sgradevole. La pulizia cammera era stata chiaramente saltata. Segnalai il problema ma l'intervento fu tardivo e frettoloso.;Housekeeping;negative
205;Personale alla reception davvero in gamba;Oggi ho avuto un disguido con la fatturazione e il receptionist ha risolto tutto in meno di cinque minuti con cortesia e competenza. Check-out gestito in modo esemplare.;Reception;positive
206;Ristoarnte senza qualità né cura  e Buffet spoglio e disorganizzato;La cena al ristoarnte fu una delusione su tutti i fronti: piatti freddi, ingredienti di bassa qualità e i camerieri assenti durante il servizio. La colazzione del mattino dopo non migliorò le cose,Siamo scesi alle nove ed era rimasto solo del pane raffermo, niente brioche o succhi. Nessuno rimpiazza il cibo consumato.;F&B;negative
207;PULIZIA CAMERA LEGGENDARIA!! #5stellehotel;#housekeepinggoals Non avevo mai visto tanta cura!! La pulizia camera era PERFETTA ogni giorno: pavimento BRILLANTE, origami di asciugamani sul letto e scorte SEMPRE rifornite!! @hotelmanagement GRAZIE DI CUORE!!;Housekeeping;positive
208;Una notte tranquilla grazie al personale efficiente della Reception;Arrivammo esausti dopo un lungo viaggio e il portire che ci accolse ci sistemò in camera immediatamente. Il personale era calmo e professionale nonostante si fosse fatto tardi. Prima impressione ottima.;Reception;positive
209;Menu del ristorante monotono e ripetitivo;Per cinque sere consecutive il ristorante proponeva gli stessi quattro piatti principali. La colazione variava appena di giorno in giorno. Il personale F&B era educato ma la qualità del cibo stagnava.;F&B;negative
210;Cammera una vergogna!! #puliziazero!!$$;Ma stiamo scherzando??!!! Trovai la cammera con macchie sul copriletto e il WC non sanificato!! Chiamai tre volte la ricetionist e NESSUNO si presentò!! HO FOTOGRAFATO TUTTO!! @direzionehotel INACCETTABBILE!!;Housekeeping;negative
211;Reception ottima ma che razza di cibo mi avete servito??;Il check-in fu gestito con rapidità e il personale della reception si dimostrò disponibile per tutto il soggiorno. Purtroppo il ristorante deludeva sia a colazione che a cena: cibo mediocre e servvizio lento, anzi lentissimo , Mi sono sentito anche male, cosa mi avete dato??;Reception;positive
212;Ristorante ottimo ma reception da rivedere;La colazione al ristorante era eccellente ogni mattina e il personale ci ha viziati con prodotti freschi e locali. Purtroppo il check-out aveva richiesto mezz'ora per un errore nell'addebito. Devo annotare ciò.;Reception;negative
213;Colazione straordinaria ma pulizia camera insufficiente;Il ristorante offriva ogni mattina una colazione di altissimo livello: prodotti biologici, caffè aromatico e personale F&B sorridente. La pulizia camera invece deludeva: bagno con residui visibili e pavimento non lavato.;F&B;positive
214;Cibo scadente ma le pulizie ok!!;La colazzione era appena sufficiente e il ristorante a cena non convinceva affatto: porzioni ridicole e piatti anonimi. La pulizia camera però compensava ampiamente: impeccabile ogni giorno senza eccezioni.;F&B;negative
215;Miglioramento netto del reparto pulizie;Due soggiorni fa la pulizia camera di questo hotel era nella media. Questa volta invece ho trovato un livello nettamente superiore: ogni dettaglio curato e bagno sanificato quotidianamente.;Housekeeping;positive
216;RICETIONIST SPARITA!! ATTESA ASSURDA!!??;Arrivai all'orario di check-in e trovai il bancone VUOTO per quindici minuti!! Quando finalmente apparve la ricetionist sembrava scocciata di dover lavorare!! Servvizio INDECENTE!!$$ #accogglienzzzapessima @hotel;Reception;negative
217;Antipasti del ristorante da standing ovation;Ieri sera la cena al ristorante ha superato ogni aspettativa: antipasti regionali raffinati, primo piatto eccellente e personale F&B preparato e discreto. La colazione stamattina era altrettanto curata.;F&B;positive
218;Tutto regolare e affidabile;Per tutte le quattro notti del soggiorno la pulizia camera fu garantita ogni mattina entro orario. Niente di straordinario ma tutto funzionava: bagno pulito e lenzuola cambiate puntualmente.;Housekeeping;positive
219;Colazzione immangiabille *ROBA DI IERI*!!;#colazzionehorror Stamattina la colazzione era composta da croissant duri e succhi annacquati!! Il ristoarnte aveva le sedie ancora capovolte sui tavoli alle otto!! Addetti e personale sono INESISTENTi!!$$ MAI PIÙ qui!!;F&B;negative
220;Receptionist formato e reattivo per problematiche;Arrivai con una richiesta speciale per una camera al piano alto lontana dall'ascensore. La reception soddisfò la richiesta immediatamente e senza fare domande. Accogglienzza professionale e discreta.;Reception;positive
221;Camera trascurata per tutto il soggiorno;Durante il soggiorno di maggio scorso la pulizia cammera veniva eseguita ogni due giorni in modo frettoloso. Trovavo sempre residui nel bagno e asciugamani non sostituiti nonostante le richieste.;Housekeeping;negative
222;Ristorante apprezzato da tutta la famiglia;Ogni pasto al ristorante è stato una conferma: la colazione abbondante e varia, la cena curata e il personale F&B attento anche con i bambini. Una delle migliori esperienze gastronomiche in hotel.;F&B;positive
223;CHECKKIN DURATO UN SECOLO!!;Il check-in di ieri ha richiesto 45 MINUTI per un banale problema di prenotazione. La ricetionist sembrava incapace di gestire la situazione e nessun responsabile è intervenuto!! INACCETTABILE!!$$;Reception;negative
224;Biancheria logora e puzzolente;Ci hanno lasciato degli asciugamani usurati e macchiati, un servizio che non ci aspettavamo da una struttura simile.;Housekeeping;negative
225;Standard ristorante mantenuto ecquamente;Sia a colazione che a cena il ristorante ha confermato lo stesso livello elevato senza mai deludere. Il personale F&B era competente e cordiale e la qualità degli ingredienti si sentiva chiaramente ad ogni pasto.;F&B;positive
226;Cinque notti senza un solo problema;La pulizia camera era garantita ogni mattina entro le nove senza mai doverlo richiedere. Il reparto housekeeping ha lavorato con costanza e discrezione per tutta la durata del soggiorno.;Housekeeping;positive
227;CHECK-IN CAOTICO E SENZA SCUSE!!$$;Arrivammo puntuali all'orario previsto e trovammo il bancone presidiato da una sola ricetionist per dodici persone in fila. Il check-in durò CINQUANTACINQUE MINUTI!! INACCETTABILE!!$$ #frontdeskfail @hotelmanagement;Reception;negative
228;Buffet mattutino di altissimo livello;Ogni mattina il ristorante sorprendeva con una selezione sempre varia: formaggi artigianali, uova preparate al momento e caffè eccellente. Il personale F&B anticipava ogni richiesta con discrezione.;F&B;positive
229;Residui ovunque nella vamera;Aprimmo la vamera e trovammo subito aloni sullo specchio del bagno e polvere sui comodini. La pulizia cammera era stata chiaramente fatta in fretta. Segnalai il problema ma l'intervento fu scarso.;Housekeeping;negative
230;Front desk reattivo e ben organizzato;Stamattina ho chiesto alla reception di anticipare il check-out e la risposta è stata immediata. Fattura corretta al primo colpo e bagagli custoditi senza problemi. Servizio encomiabile.;Reception;positive
231;Colazzione indegna di un hotel a quattro stelle;Il buffet della colazzione offriva prodotti scadenti e mal conservati. Il ristoarnte era rumoroso e il personale F&B sembrava non curarsi degli ospiti. Per il prezzo pagato mi aspettavo molto di più.;F&B;negative
232;PULIZIA CAMERA AL TOP ASSOLUTO!! #incredibile;#housekeepingperfetto Ogni singolo giorno la pulizia camera era STRAORDINARIA: pavimento LUCIDISSIMO, asciugamani piegati a ventaglio e cioccolatino sul cuscino!! @hotelstaff SIETE FANTASTICI!! Torneremo sicuramente!!;Housekeeping;positive
233;Nessun intoppo dall'arrivo alla partenza;Il check-in di domenica sera fu rapido e il personale della reception ci spiegò tutti i servizi con chiarezza. Il check-out stamattina è stato altrettanto fluido. Esperienza senza sbavature.;Reception;positive
234;Ristorante deludente a ogni pasto;Per quattro giorni consecutivi la cena al ristorante fu mediocre: piatti tiepidi, menu ripetitivo e personale F&B distratto. La colazione non andava meglio: prodotti confezionati e caffè annacquato.;F&B;negative
235;Cammera schifosa!! #puliziazero vergogna!!;Ma che schifo trovammo in quella cammera!!?? Capelli nella doccia, macchie sul copriletto e cestino mai svuotato!! HO FOTOGRAFATO TUTTO!! La ricetionist si scusò ma NON cambiò niente!! INACCETTABBILE!!$$;Housekeeping;negative
236;Reparto pulizie ottimo ma reception lenta;La pulizia camera era eccellente ogni giorno: bagno sanificato, lenzuola fresche e dettagli curati. Purtroppo il check-in aveva richiesto quaranta minuti per un problema con la prenotazione online.;Reception;negative
237;Reception velocissima ma ristorante assolutamente no, da rivedere !!;Il check-in filò liscio in tre minuti grazie a una receptionist preparata e cordiale. La cena al ristorante quella sera fu però deludente e la colazione del mattino dopo era appena tollerabile.;Reception;positive
238;Ristorante da premiare ma deludente servizio pulizie;La colazione al ristorante era una vera gioia ogni mattina: prodotti freschi, varietà ampia e personale F&B sorridente. La pulizia camera invece deludeva: trovavamo spesso il bagno con aloni e il pavimento non lavato.;F&B;positive
239;Promosso il personale delle pulizie, bocciato il ristorante;La colazzione era scadente e il ristorante a cena non convinceva: menu limitato e servvizio lentissimo. La pulizia camera però era meticolosa ogni giorno: lenzuola cambiate e bagno sempre sanificato.;F&B;negative
240;Qualità housekeeping superiore alle aspettative;Non mi aspettavo tanta cura da un hotel di questa fascia di prezzo. La pulizia camera era invece impeccabile: ogni angolo curato e scorte di cortesia sempre rifornite puntualmente.;Housekeeping;positive
241;RICETIONIST SPARITA AL CHECK-OUT!!??;Qual'è il senso di un front desk aperto se la ricetionist è IRREPERIBILE per venti minuti?? Aspettai con i bagagli in mano mentre il taxi attendeva fuori!! Servvizio INDECENTE!!$$ #checkoutfail @direzione;Reception;negative
242;Pranzo al ristorante una vera rivelazione;Non avevo pianificato di pranzare in hotel ma il menu del giorno mi ha convinto. Il ristorante ha espresso il meglio con piatti regionali ben eseguiti e personale F&B preparato. Tornerò sicuramente.;F&B;positive
243;Odore sgradevole e pesantissimo;La camera aveva un forte odore di fumo stagnante. Abbiamo chiesto un cambio di stanza alla reception ma l'hotel era completo.;Housekeeping;negative
244;Colazzione immangiabille!! *ROBA SCADUTA*!!;#scandaloso Stamattina la colazzione comprendeva succhi con la data scaduta e croissant DURI come pietra!! Il ristoarnte puzzava di umido e il personale F&B era INESISTENTE!! Prezzo esagerato!!$$ MAI PIÙ!!;F&B;negative
245;Accogglienzza calorosa alla reception;Arrivai stanca dopo un lungo viaggio e la receptionist mi accolse con un sorriso genuino. Il check-in fu completato in pochi minuti e mi fornì consigli utili sui ristoranti della zona.Sono rimasto colpito per tanta disponibilità.;Reception;positive
246;Camera lasciata a se stessa per giorni;Durante il soggiorno di giugno scorso la pulizia cammera veniva effettuata ogni tre giorni in modo frettoloso. Il bagno presentava residui visibili e gli asciugamani non venivano cambiati nonostante le richieste ripetute.;Housekeeping;negative
247;Ristorante dell'hotel da consigliare;Sia la colazione che la cena al ristorante hanno mantenuto uno standard elevato per tutto il soggiorno. Il personale F&B era formato e attento e la qualità degli ingredienti si sentiva ad ogni piatto.;F&B;positive
248;CHECK-IN DISASTROSO!! UN'ORA PERSA!!;Il check-in di ieri sera ha richiesto SESSANTA MINUTI perché la ricetionist aveva sbagliato la tipologia di camera prenotata!! Nessun responsabile si è presentato a scusarsi!! INACCETTABILE per questi prezzi!!$$;Reception;negative
249;Dettagli trascurati;Il soggiorno di quattro notti è stato deludente perché c'erano ragnatele vicino al lampadario e i comodini non erano stati spolverati.;Housekeeping;negative
